No,Predicted_Driver,Degree,In-degree,Out-degree,Number_of_mutated_samples,In_CGC
152,NOTCH1,52,46,6,8,TRUE
153,NR1H2,45,10,35,8,FALSE
154,NUAK1,46,37,9,8,FALSE
155,PARD3,36,26,10,8,FALSE
156,PDE4D,40,39,1,8,FALSE
157,PDGFRB,43,20,23,8,TRUE
158,PLCG2,74,53,21,8,FALSE
159,PLD1,27,23,4,8,FALSE
160,POLR2B,24,23,1,8,FALSE
161,PPL,25,22,3,8,FALSE
162,PRKD2,26,22,4,8,FALSE
163,PTK2,81,48,33,8,FALSE
164,PTPN12,42,39,3,8,FALSE
165,PTPRC,38,20,18,8,TRUE
166,RFC1,25,21,4,8,FALSE
167,RFX3,28,26,2,8,FALSE
168,ROCK1,44,39,5,8,FALSE
169,SOS2,22,18,4,8,FALSE
170,SYNCRIP,90,88,2,8,FALSE
171,TEK,18,8,10,8,FALSE
172,TGFBI,16,13,3,8,FALSE
173,THBS1,92,80,12,8,FALSE
174,TJP1,54,41,13,8,FALSE
175,TYK2,23,12,11,8,FALSE
176,VAV3,109,101,8,8,FALSE
177,XPOT,57,54,3,8,FALSE
178,ACTN4,43,34,9,7,FALSE
179,ADAM15,13,12,1,7,FALSE
180,AR,557,71,486,7,TRUE
181,AXIN1,39,18,21,7,TRUE
182,AXL,42,29,13,7,FALSE
183,BCAR1,44,33,11,7,FALSE
184,BTK,49,8,41,7,TRUE
185,CHGB,10,5,5,7,FALSE
186,CHM,10,9,1,7,FALSE
187,CRMP1,47,22,25,7,FALSE
188,DNM1,27,19,8,7,FALSE
189,DNM2,48,31,17,7,TRUE
190,DPP4,17,9,8,7,FALSE
191,FEZ1,26,9,17,7,FALSE
192,FMR1,35,33,2,7,FALSE
193,GDF9,23,5,18,7,FALSE
194,HDAC4,47,42,5,7,FALSE
195,IGF1R,152,132,20,7,FALSE
196,IL16,20,14,6,7,FALSE
197,ITGAV,41,31,10,7,TRUE
198,JAK2,67,29,38,7,TRUE
199,JUP,26,19,7,7,FALSE
200,MCM7,65,54,11,7,FALSE
